Description,File,Variable,Year
Ankle comment,LEXAB_C.htm,LEAANKLC,2003-2004
Ankle cuff size used,LEXAB_C.htm,LEDANKCF,2003-2004
Ankle(s) tested,LEXAB_C.htm,LEAANKL,2003-2004
Anterior FOC zone,OHXADD_C.htm,OHXFCANT,2003-2004
Anterior Zone:,OHX_D.htm,OHXFCANT,2005-2006
Any other fractures?,OSQ_D.htm,OSQ120a,2005-2006
Anything abnormal when exam?,CIQDEP_C.htm,CIQDPQ,2003-2004
Anything abnormal when examined?,CIQGAD_C.htm,CIQGPQ,2003-2004
Anything else happen before 2nd period?,CIQDEP_C.htm,CIQD081,2003-2004
Anything else happen before periods?,CIQDEP_C.htm,CIQD093,2003-2004
Apolipoprotein (B) (g/L),TRIGLY_D.htm,LBDAPBSI,2005-2006
Apolipoprotein (B) (mg/dL),TRIGLY_D.htm,LBXAPB,2005-2006
Approx age when attack occurred,CIQPAN_C.htm,CIQP19,2003-2004
Are people born to be fat/thin,DBQ_D.htm,DBQ890,2005-2006
Are you controlling weight,DIQ_D.htm,DIQ200A,2005-2006
Are you increasing physical activity,DIQ_D.htm,DIQ200B,2005-2006
Are you reducing fat/calories in diet,DIQ_D.htm,DIQ200C,2005-2006
Arm Circumference (cm),BMX_C.htm,BMXARMC,2003-2004
Arm Circumference Comment,BMX_C.htm,BMIARMC,2003-2004
Arm comment,LEXAB_C.htm,LEAARMC,2003-2004
Arm selected for blood pressure monitor,CVX_C.htm,CVAARM,2003-2004
Arm selected:,BPX_C.htm,BPAARM,2003-2004
Arm tested,LEXAB_C.htm,LEAARM,2003-2004
"Arthritis or rheumatism probl, days",PFQ_C.htm,PFD069A,2003-2004
Aspartate aminotransferase AST (U/L),L40_C.htm,LBXSASSI,2003-2004
Assessment of soft tissue lesion,OHXREF_C.htm,OHAROCCI,2003-2004
Assigned exercise protocol,CVX_C.htm,CVAPROT,2003-2004
Ate diet foods or products,WHQ_C.htm,WHD080F,2003-2004
Ate fewer carbohydrates,WHQ_D.htm,WHD080O,2005-2006
Ate less fat,WHQ_C.htm,WHD080C,2003-2004
Ate less fat to lose weight,WHQ_D.htm,WHD080C,2005-2006
Ate less food,WHQ_C.htm,WHD080A,2003-2004
"Ate less sugar, candy, sweets",WHQ_D.htm,WHD080S,2005-2006
Ate less to lose weight,WHQ_D.htm,WHD080A,2005-2006
"Ate more fruits, vegetables, salads",WHQ_D.htm,WHD080Q,2005-2006
"Attack in past 12 months,or more?",CIQPAN_C.htm,CIQP26,2003-2004
Attack in past 12 months?,CIQPAN_C.htm,CIQP37,2003-2004
Attacks interfere with daily life?,CIQPAN_C.htm,CIQP59,2003-2004
Attend kindergarten thru high school,DBQ_D.htm,DBQ360,2005-2006
Attending social event difficulty,PFQ_C.htm,PFQ061R,2003-2004
Average duration of activity (minutes),PAQIAF_C.htm,PADDURAT,2003-2004
Avg # cigarettes/day during past 30 days,SMQ_C.htm,SMD650,2003-2004
Avg level of physical activity each day,PAQ_C.htm,PAQ180,2003-2004
BIA Status,BIX_C.htm,BIAEXSTS,2003-2004
BOP: distal #10,OHXPRU_C.htm,OHX10BPD,2003-2004
BOP: distal #11,OHXPRU_C.htm,OHX11BPD,2003-2004
BOP: distal #12,OHXPRU_C.htm,OHX12BPD,2003-2004
BOP: distal #13,OHXPRU_C.htm,OHX13BPD,2003-2004
BOP: distal #14,OHXPRU_C.htm,OHX14BPD,2003-2004
BOP: distal #15,OHXPRU_C.htm,OHX15BPD,2003-2004
BOP: distal #18,OHXPRL_C.htm,OHX18BPD,2003-2004
BOP: distal #19,OHXPRL_C.htm,OHX19BPD,2003-2004
BOP: distal #2,OHXPRU_C.htm,OHX02BPD,2003-2004
BOP: distal #20,OHXPRL_C.htm,OHX20BPD,2003-2004
BOP: distal #21,OHXPRL_C.htm,OHX21BPD,2003-2004
BOP: distal #22,OHXPRL_C.htm,OHX22BPD,2003-2004
BOP: distal #23,OHXPRL_C.htm,OHX23BPD,2003-2004
BOP: distal #24,OHXPRL_C.htm,OHX24BPD,2003-2004
BOP: distal #25,OHXPRL_C.htm,OHX25BPD,2003-2004
BOP: distal #26,OHXPRL_C.htm,OHX26BPD,2003-2004
BOP: distal #27,OHXPRL_C.htm,OHX27BPD,2003-2004
BOP: distal #28,OHXPRL_C.htm,OHX28BPD,2003-2004
BOP: distal #29,OHXPRL_C.htm,OHX29BPD,2003-2004
BOP: distal #3,OHXPRU_C.htm,OHX03BPD,2003-2004
BOP: distal #30,OHXPRL_C.htm,OHX30BPD,2003-2004
BOP: distal #31,OHXPRL_C.htm,OHX31BPD,2003-2004
BOP: distal #4,OHXPRU_C.htm,OHX04BPD,2003-2004
BOP: distal #5,OHXPRU_C.htm,OHX05BPD,2003-2004
BOP: distal #6,OHXPRU_C.htm,OHX06BPD,2003-2004
BOP: distal #7,OHXPRU_C.htm,OHX07BPD,2003-2004
BOP: distal #8,OHXPRU_C.htm,OHX08BPD,2003-2004
BOP: distal #9,OHXPRU_C.htm,OHX09BPD,2003-2004
BOP: mesial #10,OHXPRU_C.htm,OHX10BPS,2003-2004
BOP: mesial #11,OHXPRU_C.htm,OHX11BPS,2003-2004
BOP: mesial #12,OHXPRU_C.htm,OHX12BPS,2003-2004
BOP: mesial #13,OHXPRU_C.htm,OHX13BPS,2003-2004
BOP: mesial #14,OHXPRU_C.htm,OHX14BPS,2003-2004
BOP: mesial #15,OHXPRU_C.htm,OHX15BPS,2003-2004
BOP: mesial #18,OHXPRL_C.htm,OHX18BPS,2003-2004
BOP: mesial #19,OHXPRL_C.htm,OHX19BPS,2003-2004
BOP: mesial #2,OHXPRU_C.htm,OHX02BPS,2003-2004
BOP: mesial #20,OHXPRL_C.htm,OHX20BPS,2003-2004
BOP: mesial #21,OHXPRL_C.htm,OHX21BPS,2003-2004
BOP: mesial #22,OHXPRL_C.htm,OHX22BPS,2003-2004
BOP: mesial #23,OHXPRL_C.htm,OHX23BPS,2003-2004
BOP: mesial #24,OHXPRL_C.htm,OHX24BPS,2003-2004
BOP: mesial #25,OHXPRL_C.htm,OHX25BPS,2003-2004
BOP: mesial #26,OHXPRL_C.htm,OHX26BPS,2003-2004
BOP: mesial #27,OHXPRL_C.htm,OHX27BPS,2003-2004
BOP: mesial #28,OHXPRL_C.htm,OHX28BPS,2003-2004
BOP: mesial #29,OHXPRL_C.htm,OHX29BPS,2003-2004
BOP: mesial #3,OHXPRU_C.htm,OHX03BPS,2003-2004
BOP: mesial #30,OHXPRL_C.htm,OHX30BPS,2003-2004
BOP: mesial #31,OHXPRL_C.htm,OHX31BPS,2003-2004
BOP: mesial #4,OHXPRU_C.htm,OHX04BPS,2003-2004
BOP: mesial #5,OHXPRU_C.htm,OHX05BPS,2003-2004
BOP: mesial #6,OHXPRU_C.htm,OHX06BPS,2003-2004
BOP: mesial #7,OHXPRU_C.htm,OHX07BPS,2003-2004
BOP: mesial #8,OHXPRU_C.htm,OHX08BPS,2003-2004
BOP: mesial #9,OHXPRU_C.htm,OHX09BPS,2003-2004
BOP: midfacial #10,OHXPRU_C.htm,OHX10BPM,2003-2004
BOP: midfacial #11,OHXPRU_C.htm,OHX11BPM,2003-2004
BOP: midfacial #12,OHXPRU_C.htm,OHX12BPM,2003-2004
BOP: midfacial #13,OHXPRU_C.htm,OHX13BPM,2003-2004
BOP: midfacial #14,OHXPRU_C.htm,OHX14BPM,2003-2004
BOP: midfacial #15,OHXPRU_C.htm,OHX15BPM,2003-2004
BOP: midfacial #18,OHXPRL_C.htm,OHX18BPM,2003-2004
BOP: midfacial #19,OHXPRL_C.htm,OHX19BPM,2003-2004
BOP: midfacial #2,OHXPRU_C.htm,OHX02BPM,2003-2004
BOP: midfacial #20,OHXPRL_C.htm,OHX20BPM,2003-2004
BOP: midfacial #21,OHXPRL_C.htm,OHX21BPM,2003-2004
BOP: midfacial #22,OHXPRL_C.htm,OHX22BPM,2003-2004
BOP: midfacial #23,OHXPRL_C.htm,OHX23BPM,2003-2004
BOP: midfacial #24,OHXPRL_C.htm,OHX24BPM,2003-2004
BOP: midfacial #25,OHXPRL_C.htm,OHX25BPM,2003-2004
BOP: midfacial #26,OHXPRL_C.htm,OHX26BPM,2003-2004
BOP: midfacial #27,OHXPRL_C.htm,OHX27BPM,2003-2004
BOP: midfacial #28,OHXPRL_C.htm,OHX28BPM,2003-2004
BOP: midfacial #29,OHXPRL_C.htm,OHX29BPM,2003-2004
BOP: midfacial #3,OHXPRU_C.htm,OHX03BPM,2003-2004
BOP: midfacial #30,OHXPRL_C.htm,OHX30BPM,2003-2004
BOP: midfacial #31,OHXPRL_C.htm,OHX31BPM,2003-2004
BOP: midfacial #4,OHXPRU_C.htm,OHX04BPM,2003-2004
BOP: midfacial #5,OHXPRU_C.htm,OHX05BPM,2003-2004
BOP: midfacial #6,OHXPRU_C.htm,OHX06BPM,2003-2004
BOP: midfacial #7,OHXPRU_C.htm,OHX07BPM,2003-2004
BOP: midfacial #8,OHXPRU_C.htm,OHX08BPM,2003-2004
BOP: midfacial #9,OHXPRU_C.htm,OHX09BPM,2003-2004
"Back or neck problems, days",PFQ_C.htm,PFD069B,2003-2004
Basophils number (1000 cells/uL),CBC_D.htm,LBDBANO,2005-2006
Basophils percent (%),CBC_D.htm,LBXBAPCT,2005-2006
Beta-carotene (mcg),DR2TOT_D.htm,DR2TBCAR,2005-2006
Beta-cryptoxanthin (mcg),DR2TOT_D.htm,DR2TCRYP,2005-2006
"Between periods, 2 months activities?",CIQDEP_C.htm,CIQD088,2003-2004
Bicarbonate (mmol/L),L40_C.htm,LBXSC3SI,2003-2004
"Bilirubin, total (umol/L)",L40_C.htm,LBDSTBSI,2003-2004
Bladder feels empty after urinating,KIQ_P_C.htm,KIQ101,2003-2004
Blood Pressure Comment,BPX_C.htm,PEASCCT1,2003-2004
Blood Pressure Status,BPX_C.htm,PEASCST1,2003-2004
Blood Pressure Time in Seconds,BPX_C.htm,PEASCTM1,2003-2004
Blood ever tested for HIV virus?,HSQ_C.htm,HSQ590,2003-2004
Blood urea nitrogen (mg/dL),L40_C.htm,LBXSBU,2003-2004
Blood urea nitrogen (mmol/L),L40_C.htm,LBDSBUSI,2003-2004
Body Mass Index (kg/m**2),BMX_C.htm,BMXBMI,2003-2004
Body Measures Component Status Code,BMX_C.htm,BMDSTATS,2003-2004
Bone alkaline phosphotase (ug/L),L11_C.htm,LBXBAP,2003-2004
Brachial SBP 1 (mm Hg),LEXAB_C.htm,LEXBRP1,2003-2004
Brachial SBP 2 (mm Hg),LEXAB_C.htm,LEXBRP2,2003-2004
Brachial cuff size used,LEXAB_C.htm,LEDARMCF,2003-2004
Brands of cigarettes smoked/past mo,SMQ_D.htm,SMQ660,2005-2006
Breast-fed infant (either day),DR2TOT_D.htm,DRABF,2005-2006
Bring up phlegm most days - 3 mo period,RDQ_C.htm,RDQ050,2003-2004
Broken / fractured teeth,OHXREF_C.htm,OHQ490e,2003-2004
Broken or fractured a hip,OSQ_D.htm,OSQ010a,2005-2006
Broken or fractured a wrist,OSQ_D.htm,OSQ010b,2005-2006
Broken or fractured spine,OSQ_D.htm,OSQ010c,2005-2006
Broken/missing fillings or restorations,OHXREF_C.htm,OHQ490d,2003-2004
Butyl paraben (ng/ml),EPH_D.htm,URXBUP,2005-2006
Butyl paraben comment,EPH_D.htm,URDBUPLC,2005-2006
C-reactive protein(mg/dL),L11_C.htm,LBXCRP,2003-2004
CHECK ITEM,ACQ_C.htm,ACQ005,2003-2004
CIDI Subsample 2 year MEC Weight,CIQDEP_C.htm,WTSCI2YR,2003-2004
CV fitness exam status,CVX_C.htm,CVDEXSTS,2003-2004
Cadmium (nmol/L),PBCD_D.htm,LBDBCDSI,2005-2006
Cadmium (ug/L),PBCD_D.htm,LBXBCD,2005-2006
Caffeine (mg),DR2TOT_D.htm,DR2TCAFF,2005-2006
Calcium (mg),DR2TOT_D.htm,DR2TCALC,2005-2006
"Cancer condition, days",PFQ_C.htm,PFD069C,2003-2004
Carbohydrate (gm),DR2TOT_D.htm,DR2TCARB,2005-2006
Cardiovascular fitness level,CVX_C.htm,CVDFITLV,2003-2004
Cavities/Caries,OHXREF_C.htm,OHQ490c,2003-2004
Cell membrane capacitance (nF),BIX_C.htm,BIDCM,2003-2004
Changed eating habits,WHQ_D.htm,WHD080R,2005-2006
Characteristic frequency (KHz),BIX_C.htm,BIDFC,2003-2004
Check Item,WHQ_C.htm,WHQ055,2003-2004
Check calories from fat on food label,DBQ_D.htm,DBQ800,2005-2006
Check calories on food label,DBQ_D.htm,DBQ790,2005-2006
Check carbohydrates on food label,DBQ_D.htm,DBQ860,2005-2006
Check cholesterol on food label,DBQ_D.htm,DBQ840,2005-2006
Check fiber on food label,DBQ_D.htm,DBQ870,2005-2006
Check item,HIQ_D.htm,HIQ065,2005-2006
Check saturated fat on food label,DBQ_D.htm,DBQ830,2005-2006
Check sodium on food label,DBQ_D.htm,DBQ850,2005-2006
Check sugars on food label,DBQ_D.htm,DBQ880,2005-2006
Check total fat on food label,DBQ_D.htm,DBQ810,2005-2006
Check trans fat on food label,DBQ_D.htm,DBQ820,2005-2006
Chest sound wheezy during exercise,RDQ_C.htm,RDQ100,2003-2004
Chloride (mmol/L),L40_C.htm,LBXSCLSI,2003-2004
Cholesterol (mg),DR2TOT_D.htm,DR2TCHOL,2005-2006
Cholesterol (mg/dL),L40_C.htm,LBXSCH,2003-2004
Cholesterol (mmol/L),L40_C.htm,LBDSCHSI,2003-2004
Cig 12-digit Universal Product Code-UPC,SMQ_C.htm,SMDUPCA,2003-2004
Cigarette Brand/sub-brand,SMQ_C.htm,SMD100BR,2003-2004
Coded cuff size,BPX_C.htm,BPACSZ,2003-2004
Comment code for CV fitness exam status,CVX_C.htm,CVDEXCMT,2003-2004
Community/Government meals delivered,DBQ_D.htm,DBQ301,2005-2006
Compare activity w/others same age,PAQ_C.htm,PAQ520,2003-2004
Compare activity with 10 years ago,PAQ_C.htm,PAQ540,2003-2004
Compare food consumed yesterday to usual,DR2TOT_D.htm,DR2_300,2005-2006
Condition of teeth,OHQ_D.htm,OHQ011,2005-2006
Controlling weight on own,BPQ_C.htm,BPD110B,2003-2004
Copper (mg),DR2TOT_D.htm,DR2TCOPP,2005-2006
Coronal Caries:  Surface condition #10,OHXDEN_C (1).htm,OHX10CSC,2003-2004
Coronal Caries:  Surface condition #11,OHXDEN_C (1).htm,OHX11CSC,2003-2004
Coronal Caries:  Surface condition #12,OHXDEN_C (1).htm,OHX12CSC,2003-2004
Coronal Caries:  Surface condition #13,OHXDEN_C (1).htm,OHX13CSC,2003-2004
Coronal Caries:  Surface condition #14,OHXDEN_C (1).htm,OHX14CSC,2003-2004
Coronal Caries:  Surface condition #15,OHXDEN_C (1).htm,OHX15CSC,2003-2004
Coronal Caries:  Surface condition #19,OHXDEN_C (1).htm,OHX19CSC,2003-2004
Coronal Caries:  Surface condition #2,OHXDEN_C (1).htm,OHX02CSC,2003-2004
Coronal Caries:  Surface condition #20,OHXDEN_C (1).htm,OHX20CSC,2003-2004
Coronal Caries:  Surface condition #21,OHXDEN_C (1).htm,OHX21CSC,2003-2004
Coronal Caries:  Surface condition #22,OHXDEN_C (1).htm,OHX22CSC,2003-2004
Coronal Caries:  Surface condition #23,OHXDEN_C (1).htm,OHX23CSC,2003-2004
Coronal Caries:  Surface condition #24,OHXDEN_C (1).htm,OHX24CSC,2003-2004
Coronal Caries:  Surface condition #25,OHXDEN_C (1).htm,OHX25CSC,2003-2004
Coronal Caries:  Surface condition #26,OHXDEN_C (1).htm,OHX26CSC,2003-2004
Coronal Caries:  Surface condition #27,OHXDEN_C (1).htm,OHX27CSC,2003-2004
Coronal Caries:  Surface condition #28,OHXDEN_C (1).htm,OHX28CSC,2003-2004
Coronal Caries:  Surface condition #29,OHXDEN_C (1).htm,OHX29CSC,2003-2004
Coronal Caries:  Surface condition #3,OHXDEN_C (1).htm,OHX03CSC,2003-2004
Coronal Caries:  Surface condition #30,OHXDEN_C (1).htm,OHX30CSC,2003-2004
Coronal Caries:  Surface condition #31,OHXDEN_C (1).htm,OHX31CSC,2003-2004
Coronal Caries:  Surface condition #4,OHXDEN_C (1).htm,OHX04CSC,2003-2004
Coronal Caries:  Surface condition #5,OHXDEN_C (1).htm,OHX05CSC,2003-2004
Coronal Caries:  Surface condition #6,OHXDEN_C (1).htm,OHX06CSC,2003-2004
Coronal Caries:  Surface condition #7,OHXDEN_C (1).htm,OHX07CSC,2003-2004
Coronal Caries:  Surface condition #8,OHXDEN_C (1).htm,OHX08CSC,2003-2004
Coronal Caries:  Surface condition #9,OHXDEN_C (1).htm,OHX09CSC,2003-2004
Coronal Caries:  Tooth count  #8,OHXDEN_C (1).htm,OHX08CTC,2003-2004
Coronal Caries:  Tooth count #10,OHXDEN_C (1).htm,OHX10CTC,2003-2004
Coronal Caries:  Tooth count #12,OHXDEN_C (1).htm,OHX12CTC,2003-2004
Coronal Caries:  Tooth count #13,OHXDEN_C (1).htm,OHX13CTC,2003-2004
Coronal Caries:  Tooth count #14,OHXDEN_C (1).htm,OHX14CTC,2003-2004
Coronal Caries:  Tooth count #15,OHXDEN_C (1).htm,OHX15CTC,2003-2004
Coronal Caries:  Tooth count #18,OHXDEN_C (1).htm,OHX18CTC,2003-2004
Coronal Caries:  Tooth count #19,OHXDEN_C (1).htm,OHX19CTC,2003-2004
Coronal Caries:  Tooth count #2,OHXDEN_C (1).htm,OHX02CTC,2003-2004
Coronal Caries:  Tooth count #20,OHXDEN_C (1).htm,OHX20CTC,2003-2004
Coronal Caries:  Tooth count #21,OHXDEN_C (1).htm,OHX21CTC,2003-2004
Coronal Caries:  Tooth count #22,OHXDEN_C (1).htm,OHX22CTC,2003-2004
Coronal Caries:  Tooth count #23,OHXDEN_C (1).htm,OHX23CTC,2003-2004
Coronal Caries:  Tooth count #24,OHXDEN_C (1).htm,OHX24CTC,2003-2004
Coronal Caries:  Tooth count #25,OHXDEN_C (1).htm,OHX25CTC,2003-2004
Coronal Caries:  Tooth count #26,OHXDEN_C (1).htm,OHX26CTC,2003-2004
Coronal Caries:  Tooth count #27,OHXDEN_C (1).htm,OHX27CTC,2003-2004
Coronal Caries:  Tooth count #28,OHXDEN_C (1).htm,OHX28CTC,2003-2004
Coronal Caries:  Tooth count #29,OHXDEN_C (1).htm,OHX29CTC,2003-2004
Coronal Caries:  Tooth count #3,OHXDEN_C (1).htm,OHX03CTC,2003-2004
Coronal Caries:  Tooth count #30,OHXDEN_C (1).htm,OHX30CTC,2003-2004
Coronal Caries:  Tooth count #31,OHXDEN_C (1).htm,OHX31CTC,2003-2004
Coronal Caries:  Tooth count #4,OHXDEN_C (1).htm,OHX04CTC,2003-2004
Coronal Caries:  Tooth count #5,OHXDEN_C (1).htm,OHX05CTC,2003-2004
Coronal Caries:  Tooth count #6,OHXDEN_C (1).htm,OHX06CTC,2003-2004
Coronal Caries:  Tooth count #7,OHXDEN_C (1).htm,OHX07CTC,2003-2004
Coronal Caries:  Tooth count #9,OHXDEN_C (1).htm,OHX09CTC,2003-2004
Coronal Caries: Surface condition #18,OHXDEN_C (1).htm,OHX18CSC,2003-2004
Coronal Caries: Tooth Count #11,OHXDEN_C (1).htm,OHX11CTC,2003-2004
Coughing most days - over 3 mo period,RDQ_C.htm,RDQ031,2003-2004
Covered by Indian Health Service,HIQ_D.htm,HIQ031G,2005-2006
Covered by Medi-Gap,HIQ_D.htm,HIQ031C,2005-2006
Covered by Medicaid,HIQ_D.htm,HIQ031D,2005-2006
Covered by Medicare,HIQ_D.htm,HIQ031B,2005-2006
