Description,File,Variable,Year
Reactance (Ohms) @ 35 KHz,BIX_C.htm,BIXC035K,2003-2004
Reactance (Ohms) @ 378 KHz,BIX_C.htm,BIXC378K,2003-2004
Reactance (Ohms) @ 39 KHz,BIX_C.htm,BIXC039K,2003-2004
Reactance (Ohms) @ 421 KHz,BIX_C.htm,BIXC421K,2003-2004
Reactance (Ohms) @ 43 KHz,BIX_C.htm,BIXC043K,2003-2004
Reactance (Ohms) @ 469 KHz,BIX_C.htm,BIXC469K,2003-2004
Reactance (Ohms) @ 5 KHz,BIX_C.htm,BIXC005K,2003-2004
Reactance (Ohms) @ 50 KHz,BIX_C.htm,BIXC050K,2003-2004
Reactance (Ohms) @ 500 KHz,BIX_C.htm,BIXC500K,2003-2004
Reactance (Ohms) @ 54 KHz,BIX_C.htm,BIXC054K,2003-2004
Reactance (Ohms) @ 582 KHz,BIX_C.htm,BIXC582K,2003-2004
Reactance (Ohms) @ 6 KHz,BIX_C.htm,BIXC006K,2003-2004
Reactance (Ohms) @ 60 KHz,BIX_C.htm,BIXC060K,2003-2004
Reactance (Ohms) @ 649 KHz,BIX_C.htm,BIXC649K,2003-2004
Reactance (Ohms) @ 67 KHz,BIX_C.htm,BIXC067K,2003-2004
Reactance (Ohms) @ 7 KHz,BIX_C.htm,BIXC007K,2003-2004
Reactance (Ohms) @ 723 KHz,BIX_C.htm,BIXC723K,2003-2004
Reactance (Ohms) @ 75 KHz,BIX_C.htm,BIXC075K,2003-2004
Reactance (Ohms) @ 8 KHz,BIX_C.htm,BIXC008K,2003-2004
Reactance (Ohms) @ 806 KHz,BIX_C.htm,BIXC806K,2003-2004
Reactance (Ohms) @ 83 KHz,BIX_C.htm,BIXC083K,2003-2004
Reactance (Ohms) @ 898 KHz,BIX_C.htm,BIXC898K,2003-2004
Reactance (Ohms) @ 9 KHz,BIX_C.htm,BIXC009K,2003-2004
Reactance (Ohms) @ 93 KHz,BIX_C.htm,BIXC093K,2003-2004
Resistance (Ohms) @  649 KHz,BIX_C.htm,BIXS649K,2003-2004
Resistance (Ohms) @ 1 MHz,BIX_C.htm,BIXS1M,2003-2004
Resistance (Ohms) @ 10 KHz,BIX_C.htm,BIXS010K,2003-2004
Resistance (Ohms) @ 100 KHz,BIX_C.htm,BIXS100K,2003-2004
Resistance (Ohms) @ 11 KHz,BIX_C.htm,BIXS011K,2003-2004
Resistance (Ohms) @ 115 KHz,BIX_C.htm,BIXS115K,2003-2004
Resistance (Ohms) @ 12 KHz,BIX_C.htm,BIXS012K,2003-2004
Resistance (Ohms) @ 128 KHz,BIX_C.htm,BIXS128K,2003-2004
Resistance (Ohms) @ 13 KHz,BIX_C.htm,BIXS013K,2003-2004
Resistance (Ohms) @ 14 KHz,BIX_C.htm,BIXS014K,2003-2004
Resistance (Ohms) @ 143 KHz,BIX_C.htm,BIXS143K,2003-2004
Resistance (Ohms) @ 15 KHz,BIX_C.htm,BIXS015K,2003-2004
Resistance (Ohms) @ 159 KHz,BIX_C.htm,BIXS159K,2003-2004
Resistance (Ohms) @ 16 KHz,BIX_C.htm,BIXS016K,2003-2004
Resistance (Ohms) @ 177 KHz,BIX_C.htm,BIXS177K,2003-2004
Resistance (Ohms) @ 18 KHz,BIX_C.htm,BIXS018K,2003-2004
Resistance (Ohms) @ 20 KHz,BIX_C.htm,BIXS020K,2003-2004
Resistance (Ohms) @ 200 KHz,BIX_C.htm,BIXS200K,2003-2004
Resistance (Ohms) @ 220 KHz,BIX_C.htm,BIXS220K,2003-2004
Resistance (Ohms) @ 23 KHz,BIX_C.htm,BIXS023K,2003-2004
Resistance (Ohms) @ 245 KHz,BIX_C.htm,BIXS245K,2003-2004
Resistance (Ohms) @ 25 KHz,BIX_C.htm,BIXS025K,2003-2004
Resistance (Ohms) @ 273 KHz,BIX_C.htm,BIXS273K,2003-2004
Resistance (Ohms) @ 28 KHz,BIX_C.htm,BIXS028K,2003-2004
Resistance (Ohms) @ 304 KHz,BIX_C.htm,BIXS304K,2003-2004
Resistance (Ohms) @ 31 KHz,BIX_C.htm,BIXS031K,2003-2004
Resistance (Ohms) @ 339 KHz,BIX_C.htm,BIXS339K,2003-2004
Resistance (Ohms) @ 35 KHz,BIX_C.htm,BIXS035K,2003-2004
Resistance (Ohms) @ 378 KHz,BIX_C.htm,BIXS378K,2003-2004
Resistance (Ohms) @ 39 KHz,BIX_C.htm,BIXS039K,2003-2004
Resistance (Ohms) @ 421 KHz,BIX_C.htm,BIXS421K,2003-2004
Resistance (Ohms) @ 43 KHz,BIX_C.htm,BIXS043K,2003-2004
Resistance (Ohms) @ 469 KHz,BIX_C.htm,BIXS469K,2003-2004
Resistance (Ohms) @ 5 KHz,BIX_C.htm,BIXS005K,2003-2004
Resistance (Ohms) @ 50 KHz,BIX_C.htm,BIXS050K,2003-2004
Resistance (Ohms) @ 500 KHz,BIX_C.htm,BIXS500K,2003-2004
Resistance (Ohms) @ 54 KHz,BIX_C.htm,BIXS054K,2003-2004
Resistance (Ohms) @ 582 KHz,BIX_C.htm,BIXS582K,2003-2004
Resistance (Ohms) @ 6 KHz,BIX_C.htm,BIXS006K,2003-2004
Resistance (Ohms) @ 60 KHz,BIX_C.htm,BIXS060K,2003-2004
Resistance (Ohms) @ 67 KHz,BIX_C.htm,BIXS067K,2003-2004
Resistance (Ohms) @ 7 KHz,BIX_C.htm,BIXS007K,2003-2004
Resistance (Ohms) @ 723 KHz,BIX_C.htm,BIXS723K,2003-2004
Resistance (Ohms) @ 75 KHz,BIX_C.htm,BIXS075K,2003-2004
Resistance (Ohms) @ 8 KHz,BIX_C.htm,BIXS008K,2003-2004
Resistance (Ohms) @ 806 KHz,BIX_C.htm,BIXS806K,2003-2004
Resistance (Ohms) @ 83 KHz,BIX_C.htm,BIXS083K,2003-2004
Resistance (Ohms) @ 898 KHz,BIX_C.htm,BIXS898K,2003-2004
Resistance (Ohms) @ 9 KHz,BIX_C.htm,BIXS009K,2003-2004
Resistance (Ohms) @ 93 KHz,BIX_C.htm,BIXS093K,2003-2004
Resistance (ohms) of extracellular fluid,BIX_C.htm,BIDRECF,2003-2004
Resistance (ohms) of intracellular fluid,BIX_C.htm,BIDRICF,2003-2004
Respondent sequence number,BIX_C.htm,SEQN,2003-2004
Time delay (ns),BIX_C.htm,BIDTD,2003-2004
Arm Circumference (cm),BMX_C.htm,BMXARMC,2003-2004
Arm Circumference Comment,BMX_C.htm,BMIARMC,2003-2004
Body Mass Index (kg/m**2),BMX_C.htm,BMXBMI,2003-2004
Body Measures Component Status Code,BMX_C.htm,BMDSTATS,2003-2004
Head Circumference (cm),BMX_C.htm,BMXHEAD,2003-2004
Head Circumference Comment,BMX_C.htm,BMIHEAD,2003-2004
Height-Length difference flagged,BMX_C.htm,BMDRECUF,2003-2004
Maximal Calf Circumference (cm),BMX_C.htm,BMXCALF,2003-2004
Maximal Calf Comment,BMX_C.htm,BMICALF,2003-2004
Recumbent Length (cm),BMX_C.htm,BMXRECUM,2003-2004
Recumbent Length Comment,BMX_C.htm,BMIRECUM,2003-2004
Respondent sequence number,BMX_C.htm,SEQN,2003-2004
Standing Height (cm),BMX_C.htm,BMXHT,2003-2004
Standing Height Comment,BMX_C.htm,BMIHT,2003-2004
Subscapular Skinfold (mm),BMX_C.htm,BMXSUB,2003-2004
Subscapular Skinfold Comment,BMX_C.htm,BMISUB,2003-2004
Thigh Circumference (cm),BMX_C.htm,BMXTHICR,2003-2004
Thigh Circumference Comment,BMX_C.htm,BMITHICR,2003-2004
Triceps Skinfold (mm),BMX_C.htm,BMXTRI,2003-2004
Triceps Skinfold Comment,BMX_C.htm,BMITRI,2003-2004
Unusual value noted during data review,BMX_C.htm,BMDTHICF,2003-2004
Unusual value noted during data review,BMX_C.htm,BMDLEGF,2003-2004
Unusual value noted during data review,BMX_C.htm,BMDARMLF,2003-2004
Unusual value noted during data review,BMX_C.htm,BMDCALFF,2003-2004
Unusual value noted during data review,BMX_C.htm,BMDSUBF,2003-2004
Upper Arm Length (cm),BMX_C.htm,BMXARML,2003-2004
Upper Arm Length Comment,BMX_C.htm,BMIARML,2003-2004
Upper Leg Length (cm),BMX_C.htm,BMXLEG,2003-2004
Upper Leg Length Comment,BMX_C.htm,BMILEG,2003-2004
Waist Circumference (cm),BMX_C.htm,BMXWAIST,2003-2004
Waist Circumference Comment,BMX_C.htm,BMIWAIST,2003-2004
Weight (kg),BMX_C.htm,BMXWT,2003-2004
Weight Comment,BMX_C.htm,BMIWT,2003-2004
Arm Circumference (cm),BMX_D.htm,BMXARMC,2005-2006
Arm Circumference Comment,BMX_D.htm,BMIARMC,2005-2006
Body Mass Index (kg/m**2),BMX_D.htm,BMXBMI,2005-2006
Body Measures Component Status Code,BMX_D.htm,BMDSTATS,2005-2006
Head Circumference (cm),BMX_D.htm,BMXHEAD,2005-2006
Head Circumference Comment,BMX_D.htm,BMIHEAD,2005-2006
Maximal Calf Circumference (cm),BMX_D.htm,BMXCALF,2005-2006
Maximal Calf Comment,BMX_D.htm,BMICALF,2005-2006
Recumbent Length (cm),BMX_D.htm,BMXRECUM,2005-2006
Recumbent Length Comment,BMX_D.htm,BMIRECUM,2005-2006
Respondent sequence number,BMX_D.htm,SEQN,2005-2006
Standing Height (cm),BMX_D.htm,BMXHT,2005-2006
Standing Height Comment,BMX_D.htm,BMIHT,2005-2006
Subscapular Skinfold (mm),BMX_D.htm,BMXSUB,2005-2006
Subscapular Skinfold Comment,BMX_D.htm,BMISUB,2005-2006
Thigh Circumference (cm),BMX_D.htm,BMXTHICR,2005-2006
Thigh Circumference Comment,BMX_D.htm,BMITHICR,2005-2006
Triceps Skinfold (mm),BMX_D.htm,BMXTRI,2005-2006
Triceps Skinfold Comment,BMX_D.htm,BMITRI,2005-2006
Upper Arm Length (cm),BMX_D.htm,BMXARML,2005-2006
Upper Arm Length Comment,BMX_D.htm,BMIARML,2005-2006
Upper Leg Length (cm),BMX_D.htm,BMXLEG,2005-2006
Upper Leg Length Comment,BMX_D.htm,BMILEG,2005-2006
Waist Circumference (cm),BMX_D.htm,BMXWAIST,2005-2006
Waist Circumference Comment,BMX_D.htm,BMIWAIST,2005-2006
Weight (kg),BMX_D.htm,BMXWT,2005-2006
Weight Comment,BMX_D.htm,BMIWT,2005-2006
CHECK ITEM,BPQ_C.htm,BPQ042,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ045,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ055,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ095,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ135,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ125,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ117,2003-2004
CHECK ITEM,BPQ_C.htm,BPQ115,2003-2004
Controlling weight on own,BPQ_C.htm,BPD110B,2003-2004
Controlling weight on own,BPQ_C.htm,BPD130,2003-2004
Doctor told you - high cholesterol level,BPQ_C.htm,BPQ080,2003-2004
Eating fewer high fat foods on own,BPQ_C.htm,BPD120,2003-2004
Eating fewer high fat foods on own,BPQ_C.htm,BPD110A,2003-2004
Ever had blood cholesterol checked,BPQ_C.htm,BPQ060,2003-2004
Ever told you had high blood pressure,BPQ_C.htm,BPQ020,2003-2004
Increasing exercise on own,BPQ_C.htm,BPD110C,2003-2004
Increasing exercise on own,BPQ_C.htm,BPD140,2003-2004
Last blood pressure reading by doctor,BPQ_C.htm,BPQ010,2003-2004
Now controlling weight,BPQ_C.htm,BPQ100B,2003-2004
Now controlling weight,BPQ_C.htm,BPQ050B,2003-2004
Now eating fewer high fat foods,BPQ_C.htm,BPQ100A,2003-2004
Now exercising more,BPQ_C.htm,BPQ050D,2003-2004
Now increasing exercise,BPQ_C.htm,BPQ100C,2003-2004
Now reducing alcohol consumption,BPQ_C.htm,BPQ050E,2003-2004
Now reducing salt/sodium,BPQ_C.htm,BPQ050C,2003-2004
Now taking prescribed medicine,BPQ_C.htm,BPQ050A,2003-2004
Now taking prescribed medicine,BPQ_C.htm,BPQ100D,2003-2004
Respondent sequence number,BPQ_C.htm,SEQN,2003-2004
Taking prescription for hypertension,BPQ_C.htm,BPQ040A,2003-2004
Told had high blood pressure - 2+ times,BPQ_C.htm,BPQ030,2003-2004
Told of other diet changes for hyprtnsn,BPQ_C.htm,BPQ043C,2003-2004
Told to control weight for hypertension,BPQ_C.htm,BPQ040B,2003-2004
Told to do other things for hypertension,BPQ_C.htm,BPQ040F,2003-2004
Told to do other things for hyprtnsn,BPQ_C.htm,BPQ043D,2003-2004
Told to eat less fat for cholesterol,BPQ_C.htm,BPQ090A,2003-2004
Told to exercise more for cholesterol,BPQ_C.htm,BPQ090C,2003-2004
Told to exercise more for hypertension,BPQ_C.htm,BPQ040D,2003-2004
Told to increase potassium for hyprtnsn,BPQ_C.htm,BPQ043B,2003-2004
Told to reduce alcohol for hypertension,BPQ_C.htm,BPQ040E,2003-2004
Told to reduce sodium for hypertension,BPQ_C.htm,BPQ040C,2003-2004
Told to reduce weight for cholesterol,BPQ_C.htm,BPQ090B,2003-2004
Told to stop smoking for hypertension,BPQ_C.htm,BPQ043A,2003-2004
Told to take prescriptn for cholesterol,BPQ_C.htm,BPQ090D,2003-2004
When blood cholesterol last checked,BPQ_C.htm,BPQ070,2003-2004
# of dropped beats in 30 seconds,BPX_C.htm,BPXDB,2003-2004
60 sec HR (30 sec HR * 2),BPX_C.htm,BPXCHR,2003-2004
60 sec. pulse (30 sec. pulse * 2):,BPX_C.htm,BPXPLS,2003-2004
Arm selected:,BPX_C.htm,BPAARM,2003-2004
Blood Pressure Comment,BPX_C.htm,PEASCCT1,2003-2004
Blood Pressure Status,BPX_C.htm,PEASCST1,2003-2004
Blood Pressure Time in Seconds,BPX_C.htm,PEASCTM1,2003-2004
Coded cuff size,BPX_C.htm,BPACSZ,2003-2004
Diastolic:  Blood pres (1st rdg) mm Hg,BPX_C.htm,BPXDI1,2003-2004
Diastolic:  Blood pres (4th rdg) mm Hg,BPX_C.htm,BPXDI4,2003-2004
Diastolic: Blood pres (2nd rdg) mm Hg,BPX_C.htm,BPXDI2,2003-2004
Diastolic: Blood pres (3rd rdg) mm Hg,BPX_C.htm,BPXDI3,2003-2004
Enhancement used first reading,BPX_C.htm,BPAEN1,2003-2004
Enhancement used fourth reading,BPX_C.htm,BPAEN4,2003-2004
Enhancement used second reading,BPX_C.htm,BPAEN2,2003-2004
Enhancement used third reading,BPX_C.htm,BPAEN3,2003-2004
Had alcohol in the past 30 minutes?,BPX_C.htm,BPQ150B,2003-2004
Had cigarettes in the past 30 minutes?,BPX_C.htm,BPQ150D,2003-2004
Had coffee in the past 30 minutes?,BPX_C.htm,BPQ150C,2003-2004
Had food in the past 30 minutes?,BPX_C.htm,BPQ150A,2003-2004
MIL: maximum inflation levels (mm Hg),BPX_C.htm,BPXML1,2003-2004
Pulse regular or irregular?,BPX_C.htm,BPXPULS,2003-2004
Pulse type:,BPX_C.htm,BPXPTY,2003-2004
Respondent sequence number,BPX_C.htm,SEQN,2003-2004
Systolic:  Blood pres (1st rdg) mm Hg,BPX_C.htm,BPXSY1,2003-2004
Systolic:  Blood pres (2nd rdg) mm Hg,BPX_C.htm,BPXSY2,2003-2004
Systolic:  Blood pres (3rd rdg) mm Hg,BPX_C.htm,BPXSY3,2003-2004
Systolic: Blood pres (4th rdg) mm Hg,BPX_C.htm,BPXSY4,2003-2004
# of dropped beats in 30 seconds,BPX_D.htm,BPXDB,2005-2006
60 sec HR (30 sec HR * 2),BPX_D.htm,BPXCHR,2005-2006
60 sec. pulse (30 sec. pulse * 2):,BPX_D.htm,BPXPLS,2005-2006
Arm selected:,BPX_D.htm,BPAARM,2005-2006
Blood Pressure Comment,BPX_D.htm,PEASCCT1,2005-2006
Blood Pressure Status,BPX_D.htm,PEASCST1,2005-2006
Blood Pressure Time in Seconds,BPX_D.htm,PEASCTM1,2005-2006
Coded cuff size,BPX_D.htm,BPACSZ,2005-2006
Diastolic:  Blood pres (1st rdg) mm Hg,BPX_D.htm,BPXDI1,2005-2006
Diastolic:  Blood pres (4th rdg) mm Hg,BPX_D.htm,BPXDI4,2005-2006
Diastolic: Blood pres (2nd rdg) mm Hg,BPX_D.htm,BPXDI2,2005-2006
Diastolic: Blood pres (3rd rdg) mm Hg,BPX_D.htm,BPXDI3,2005-2006
Enhancement used first reading,BPX_D.htm,BPAEN1,2005-2006
Enhancement used fourth reading,BPX_D.htm,BPAEN4,2005-2006
Enhancement used second reading,BPX_D.htm,BPAEN2,2005-2006
Enhancement used third reading,BPX_D.htm,BPAEN3,2005-2006
Had alcohol in the past 30 minutes?,BPX_D.htm,BPQ150B,2005-2006
Had cigarettes in the past 30 minutes?,BPX_D.htm,BPQ150D,2005-2006
Had coffee in the past 30 minutes?,BPX_D.htm,BPQ150C,2005-2006
Had food in the past 30 minutes?,BPX_D.htm,BPQ150A,2005-2006
MIL: maximum inflation levels (mm Hg),BPX_D.htm,BPXML1,2005-2006
Pulse regular or irregular?,BPX_D.htm,BPXPULS,2005-2006
Pulse type:,BPX_D.htm,BPXPTY,2005-2006
Respondent sequence number,BPX_D.htm,SEQN,2005-2006
Systolic:  Blood pres (1st rdg) mm Hg,BPX_D.htm,BPXSY1,2005-2006
Systolic:  Blood pres (2nd rdg) mm Hg,BPX_D.htm,BPXSY2,2005-2006
Systolic:  Blood pres (3rd rdg) mm Hg,BPX_D.htm,BPXSY3,2005-2006
Systolic: Blood pres (4th rdg) mm Hg,BPX_D.htm,BPXSY4,2005-2006
Basophils number (1000 cells/uL),CBC_D.htm,LBDBANO,2005-2006
Basophils percent (%),CBC_D.htm,LBXBAPCT,2005-2006
Eosinophils number (1000 cells/uL),CBC_D.htm,LBDEONO,2005-2006
Eosinophils percent (%),CBC_D.htm,LBXEOPCT,2005-2006
Hematocrit (%),CBC_D.htm,LBXHCT,2005-2006
Hemoglobin (g/dL),CBC_D.htm,LBXHGB,2005-2006
Lymphocyte number (1000 cells/uL),CBC_D.htm,LBDLYMNO,2005-2006
Lymphocyte percent (%),CBC_D.htm,LBXLYPCT,2005-2006
MCHC (g/dL),CBC_D.htm,LBXMC,2005-2006
Mean cell hemoglobin (pg),CBC_D.htm,LBXMCHSI,2005-2006
Mean cell volume (fL),CBC_D.htm,LBXMCVSI,2005-2006
Mean platelet volume (fL),CBC_D.htm,LBXMPSI,2005-2006
Monocyte number (1000 cells/uL),CBC_D.htm,LBDMONO,2005-2006
Monocyte percent (%),CBC_D.htm,LBXMOPCT,2005-2006
Platelet count SI (1000 cells/uL),CBC_D.htm,LBXPLTSI,2005-2006
Red blood cell count (million cells/uL),CBC_D.htm,LBXRBCSI,2005-2006
Red cell distribution width (%),CBC_D.htm,LBXRDW,2005-2006
Respondent sequence number,CBC_D.htm,SEQN,2005-2006
Segmented neutrophils num (1000 cell/uL),CBC_D.htm,LBDNENO,2005-2006
Segmented neutrophils percent (%),CBC_D.htm,LBXNEPCT,2005-2006
White blood cell count (1000 cells/uL),CBC_D.htm,LBXWBCSI,2005-2006
CHECK ITEM,CDQ_C.htm,CDQ003A,2003-2004
Does standing relieve pain/discomfort,CDQ_C.htm,CDQ005,2003-2004
During an ordinary pace on level ground,CDQ_C.htm,CDQ003,2003-2004
How soon is the pain relieved,CDQ_C.htm,CDQ006,2003-2004
If so does SP continue or slow down,CDQ_C.htm,CDQ004,2003-2004
